asdf_id,imds,rank_imds,poblacion_2020,urbano_2012,sdg1_1_ee,sdg1_1_nbi,sdg1_2_pm,sdg1_4_ssb,sdg2_2_dm,sdg2_2_smu,sdg2_4_su,sdg2_4_t,sdg3_1_p,sdg3_2_mi,sdg3_2_mn,sdg3_3_c,sdg3_3_d,sdg3_3_m,sdg3_3_t,sdg3_3_vih,sdg3_7_fa,sdg4_1_ash,sdg4_1_asm,sdg4_4_es,sdg4_6_alfab,sdg4_c_pci,sdg4_c_pcs,sdg5_1_paes,sdg5_1_pej,sdg5_1_ppm,sdg5_5_pp,sdg6_1_ca,sdg6_2_cs,sdg6_3_tar,sdg7_1_cee,sdg7_1_cep,sdg7_1_elc,sdg7_3_ecep,sdg8_4_mcc,sdg8_5_ph,sdg8_5_pm,sdg8_6_hnn,sdg8_6_mnn,sdg8_10_b,sdg8_11_mm,sdg9_1_rutas,sdg9_5_c,sdg9_5_pt,sdg9_c_crdm,sdg9_c_rb,sdg10_2_egini,sdg10_2_ge,sdg10_2_nhe,sdg11_1_h,sdg11_1_sss,sdg11_2_atc,sdg13_1_vcc,sdg13_2_ectp,sdg13_2_td,sdg15_1_ap,sdg15_5_pb,sdg16_1_vh,sdg16_6_ce,sdg16_9_nrc,sdg17_1_il,sdg17_5_ip,sdg1_1_ee_abs,sdg1_1_nbi_abs,sdg1_2_pm_abs,sdg1_4_ssb_abs,sdg2_2_dm_abs,sdg2_2_smu_abs,sdg2_4_su_abs,sdg2_4_t_abs,sdg3_1_p_abs,sdg3_2_mi_abs,sdg3_2_mn_abs,sdg3_3_c_abs,sdg3_3_d_abs,sdg3_3_m_abs,sdg3_3_t_abs,sdg3_3_vih_abs,sdg3_7_fa_abs,sdg4_1_ash_abs,sdg4_1_asm_abs,sdg4_4_es_abs,sdg4_6_alfab_abs,sdg4_c_pci_abs,sdg4_c_pcs_abs,sdg6_1_ca_abs,sdg6_2_cs_abs,sdg7_1_cee_abs,sdg7_1_cep_abs,sdg7_1_elc_abs,sdg7_3_ecep_abs,sdg8_4_mcc_abs,sdg8_5_ph_abs,sdg8_5_pm_abs,sdg8_6_hnn_abs,sdg8_6_mnn_abs,sdg8_10_b_abs,sdg9_1_rutas_abs,sdg9_5_c_abs,sdg9_5_pt_abs,sdg9_c_crdm_abs,sdg9_c_rb_abs,sdg10_2_nhe_abs,sdg11_1_h_abs,sdg11_1_sss_abs,sdg11_2_atc_abs,sdg13_2_ectp_abs,sdg13_2_td_abs,sdg15_1_ap_abs,sdg15_5_pb_abs,sdg16_1_vh_abs,sdg16_6_ce_abs,sdg16_9_nrc_abs,sdg17_5_ip_abs,sdg1_1_ee_norm,sdg1_1_nbi_norm,sdg1_2_pm_norm,sdg1_4_ssb_norm,sdg2_2_dm_norm,sdg2_2_smu_norm,sdg2_4_su_norm,sdg2_4_t_norm,sdg3_1_p_norm,sdg3_2_mi_norm,sdg3_2_mn_norm,sdg3_3_c_norm,sdg3_3_d_norm,sdg3_3_m_norm,sdg3_3_t_norm,sdg3_3_vih_norm,sdg3_7_fa_norm,sdg4_1_ash_norm,sdg4_1_asm_norm,sdg4_4_es_norm,sdg4_6_alfab_norm,sdg4_c_pci_norm,sdg4_c_pcs_norm,sdg5_1_paes_norm,sdg5_1_pej_norm,sdg5_1_ppm_norm,sdg5_5_pp_norm,sdg6_1_ca_norm,sdg6_2_cs_norm,sdg6_3_tar_norm,sdg7_1_cee_norm,sdg7_1_cep_norm,sdg7_1_elc_norm,sdg7_3_ecep_norm,sdg8_4_mcc_norm,sdg8_5_ph_norm,sdg8_5_pm_norm,sdg8_6_hnn_norm,sdg8_6_mnn_norm,sdg8_10_b_norm,sdg8_11_mm_norm,sdg9_1_rutas_norm,sdg9_5_c_norm,sdg9_5_pt_norm,sdg9_c_crdm_norm,sdg9_c_rb_norm,sdg10_2_egini_norm,sdg10_2_ge_norm,sdg10_2_nhe_norm,sdg11_1_h_norm,sdg11_1_sss_norm,sdg11_2_atc_norm,sdg13_1_vcc_norm,sdg13_2_ectp_norm,sdg13_2_td_norm,sdg15_1_ap_norm,sdg15_5_pb_norm,sdg16_1_vh_norm,sdg16_6_ce_norm,sdg16_9_nrc_norm,sdg17_1_il_norm,sdg17_5_ip_norm,indice_ods1,indice_ods2,indice_ods3,indice_ods4,indice_ods5,indice_ods6,indice_ods7,indice_ods8,indice_ods9,indice_ods10,indice_ods11,indice_ods13,indice_ods15,indice_ods16,indice_ods17
254,69.599998,5,295476,91.400002,23.799999,26.9,.046,79.5,14.8,28.5,,,83,19.799999,24.700001,1.1,0,0,57.299999,266,44.299999,4.4000001,2.5999999,39.599998,94.800003,96.199997,77.599998,1.7,.89999998,1.1,.69999999,95.699997,93.900002,60.900002,93.599998,332,89.5,1.3,4.9000001,61.400002,43.900002,10.6,16.4,41.299999,9.6000004,3,4.0999999,21.200001,80.300003,7.5,.31999999,110,7,23.700001,17.9,281.70001,.69999999,1.3,0,0,0,2.4000001,86.199997,94.199997,15.9,671,17473,67621,6128,14316,4240,22626,52183,51,1407,109,136,940,0,6,163,297,701,764,446,61864,9466,11,314,12305,17250,17038,93191336,7299,353329,3107,38014,62200,3195,5300,119,3,3365,47,13729,2103,17148,16396,12393,80144,353329,0,0,0,20,737627253,1865,191011393,74.959999,72.209999,88.309998,79.5,71.849998,19.84,0,0,79.860001,83.75,100,89.050003,100,99.980003,63.900002,36.169998,71.730003,54.709999,73.239998,100,82.510002,96.18,77.57,100,86.309998,100,55.59,93.959999,93.57,60.860001,91.419998,58.25,91.730003,84.279999,88.150002,.98000002,29.799999,91.839996,73.599998,68.839996,72.290001,100,63.02,26.459999,78.540001,64.739998,70.529999,54.209999,88.370003,69.620003,86.120003,33.380001,75.080002,94.769997,100,0,99.989998,71.410004,78.839996,88.309998,39.310001,15.43,78.739998,45.84,80.489998,80.699997,85.480003,82.800003,81.419998,60.790001,66.550003,71.040001,63.040001,89.949997,49.990002,79.519997,27.370001
201,55.5,75,10017,0,45.799999,54.400002,.113,44.900002,14.8,28.5,7.5999999,5.3000002,67.300003,23.9,29.4,1.3,0,0,70.599998,25.299999,65.400002,2.2,.89999998,15,87.300003,66.699997,85.300003,3.5,.89999998,.89999998,.69999999,78.699997,60.799999,0,79.800003,178,51.5,.2,13.7,66,43.599998,8.6000004,24.700001,10.1,.2,3,4.8000002,10.3,56,4,.47,88,16.5,19.200001,40.700001,7.1999998,1,.2,0,0,0,0,65.5,95.699997,3.4000001,478,1229,4877,594,1458,139,616,15869,11,42,4,5,47,0,0,7,1,31,14,4,829,817,3,14,2111,3886,1970,1761676,1284,1911,310,1281,2188,82,203,1,3,144,3,1164,40,1477,500,1058,71,1911,0,0,0,0,21577261,47,4746053,51.73,43.740002,71,44.900002,71.849998,19.84,24.25,.77999997,61.259998,75.209999,92,87.129997,100,100,55.540001,93.919998,58.259998,77.519997,91.110001,35.84,56.450001,66.669998,85.260002,100,64.449997,79.589996,45.389999,70.279999,58.459999,0,72.849998,30.530001,49.470001,97.580002,65.440002,22.02,29.139999,98.25,47.73,16.75,1.55,100,74.18,12.93,51.970001,33.740002,31.040001,64.610001,69.660004,79.519997,60.630001,.85000002,64.980003,99.269997,100,0,100,100,47.110001,91.370003,8.3699999,9.79,52.84,29.18,80.370003,68.809998,72.360001,42.91,62.610001,40.130001,54.560001,55.099998,47,88.080002,50,79.489998,9.0799999
300,35.700001,339,18947,0,96.099998,95.900002,.454,4.1999998,40.599998,16.9,11.1,3.9000001,27.700001,37.200001,48.599998,2.8,0,0,37.799999,13.6,92.099998,6.9000001,6.5999999,3.3,78.400002,83.300003,75,1.4,.80000001,1,.60000002,43.700001,7.9000001,0,14.8,7,6,0,30.700001,70.599998,43.400002,14,37,0,.40000001,0,1.4,1.7,7.5,.60000002,.52999997,12,49.700001,35.700001,94,0,2,0,0,0,0,1.8,78.800003,85.199997,0,475,4839,16274,3880,4690,959,595,43095,15,227,16,21,169,0,1,7,1,63,77,54,303,2278,1,31,10443,17077,15227,127078,4601,269,217,1901,3622,176,425,0,0,80,1,4530,11,7969,1717,4520,0,269,0,0,0,1,31727744,407,8806159,0,.77999997,0,4.1900001,22.889999,73.739998,36.189999,.57999998,14.23,47.5,57.09,73.400002,100,99.949997,76.199997,96.730003,41.23,28.49,32.27,1.51,25.129999,83.330002,75,100,38.91,100,36.799999,21.309999,2.29,0,0,0,0,99.82,21.67,43.009998,28.709999,81.209999,9.3100004,0,3.1500001,0,21.6,2.1600001,0,2.6800001,13.69,99.790001,4.1300001,42.900002,.93000001,0,32.66,100,100,0,100,78.18,67.510002,70.360001,.07,9.6899996,1.24,33.349998,67.370003,40.959999,68.93,7.8699999,24.950001,26.719999,5.29,39.209999,14.61,77.550003,50,72.010002,4.8800001
174,37.900002,333,10948,0,86.800003,87.699997,.44,12.8,40.599998,16.9,26.6,4.5,34.900002,36.200001,48.099998,.30000001,0,1.9,9.1000004,205.10001,99.599998,8.8999996,7.5999999,8.5,75.400002,50,82,1.5,.80000001,1.2,.40000001,45.700001,19.1,0,16.299999,27,13,0,21.4,69.800003,30.700001,14,41.299999,9.1000004,.2,0,1.8,0,11.6,1.3,.56999999,48,31.799999,36.900002,77.699997,0,2,.69999999,.090000004,0,.012,0,75.699997,88,.1,998,2199,9011,1862,2212,548,346,58498,10,147,9,12,10,0,82,1,9,46,38,25,457,1547,2,9,5952,8872,9202,298532,2207,370,143,1210,2650,120,303,1,0,66,0,2243,14,3133,918,1933,0,8219,28,0,0,0,32003762,194,10934748,8.4799995,9.2600002,0,12.84,22.889999,73.739998,88.470001,.68000001,22.790001,49.580002,58,96.790001,100,92.760002,94.25,50.790001,36.439999,8.4700003,21.42,16.59,14.68,50,82,100,44.799999,100,3.6500001,24.17,14.17,0,0,3.29,6.8200002,99.580002,45.68,39.400002,.14,81.400002,0,15.21,1.73,0,27.299999,0,3.52,8.8000002,2.98,83.239998,39.48,40.259998,19.190001,0,32.66,96.919998,98.379997,0,98.919998,100,62.650002,76.019997,.25,24.969999,7.6500001,46.439999,66.82,32.189999,62.110001,12.78,27.42,26.219999,7.9200001,41.900002,19.82,75.989998,49.459999,79.559998,12.61
186,40,327,14688,0,86.099998,86.900002,.38,13.1,40.599998,16.9,14.3,.60000002,41.599998,27.1,34.299999,0,0,0,27.200001,102.1,84.400002,4.8000002,4.4000001,7.1999998,75.699997,50,70.5,1.3,.80000001,1.2,.60000002,57.5,23.6,0,31.9,27,15.1,0,19.799999,69.699997,44.700001,10.6,32,0,.40000001,0,1.6,0,22,1.6,.60000002,35,44,33.299999,80.599998,0,2.0999999,.1,.1,0,.014,0,83.099998,85.699997,.2,625,2935,12148,2250,2969,657,460,45630,2,166,7,9,0,0,2,4,6,52,37,28,520,2056,3,23,6244,11215,10021,402902,2902,554,292,1631,2888,114,309,0,0,83,0,2667,24,5887,1123,2720,0,1206,17,0,0,0,32967137,291,9179263,9.2799997,10.1,2.6700001,13.14,22.889999,73.739998,47.040001,.090000004,30.74,68.540001,83.089996,100,100,99.870003,82.830002,75.489998,46.139999,50.970001,54.759998,12.83,15.77,50,70.510002,100,43.360001,100,41.799999,40.599998,19,0,8.5100002,3.3299999,9.1000004,99.529999,49.650002,38.939999,31.629999,91.949997,25.040001,0,3.29,0,25.25,0,14.82,12.02,0,88.900002,15.36,48.259998,15.88,0,28.620001,99.739998,98.160004,0,98.720001,100,74.099998,71.410004,.37,14.08,8.8000002,35.939999,76.300003,42.470001,71.290001,19.870001,30.120001,34.360001,10.42,34.75,21.379999,75.510002,49.360001,81.839996,7.23
206,47.5,235,12467,36.700001,76.800003,70.300003,.249,28.799999,40.599998,16.9,12.1,3.0999999,62.799999,24.200001,29.1,.2,0,0,41.200001,416.70001,65.800003,1.1,2.8,13.2,86.800003,100,73.699997,.5,.89999998,1,.5,80.800003,40.599998,0,52.400002,45,29.799999,.60000002,19.700001,72.199997,38.799999,11.4,31.5,16.299999,.2,1,1.5,0,35.599998,1.6,.5,71,21.6,32.900002,67.300003,0,1.3,.60000002,.02,0,0,0,77.199997,90.300003,.60000002,958,2049,7652,1179,1840,462,487,19384,5,46,5,6,5,0,0,5,20,40,3,6,907,1047,0,10,2332,7210,5557,543035,1816,7415,197,1299,2743,138,347,2,1,53,0,1666,19,2320,841,1719,0,7415,0,0,0,0,29463608,128,11633445,19.120001,27.32,36.290001,28.85,22.889999,73.739998,39.360001,.46000001,55.880001,74.580002,92.550003,98.480003,100,100,74.059998,0,58.009998,88.589996,71.5,30.379999,54.459999,100,73.68,50,85.040001,100,22.17,73.18,37.049999,0,35.990002,6.5100002,25.389999,92.309998,50.099998,50.349998,18.370001,89.419998,26.42,27.219999,1.5599999,50,23.41,0,29.67,11.51,20.110001,72.589996,59.549999,49.02,30.76,0,57.91,97.480003,99.629997,0,99.959999,100,65.07,80.550003,1.48,23.809999,27.889999,34.110001,72.620003,69.769997,64.300003,36.740002,40.049999,37.630001,22.92,50.75,26.59,85.010002,49.98,81.870003,12.64
255,44.099998,292,14088,23.5,85.900002,86,.38299999,18.4,40.599998,16.9,21.6,.5,33.299999,26.1,33,3.7,0,.1,51.700001,37.599998,92.5,6.1999998,4.9000001,7.8000002,75,100,84.800003,1.9,.89999998,1.1,.5,71.599998,27.9,0,36.599998,22,19,0,12.3,72.5,39,12.1,37.5,0,.1,0,1.4,0,21.299999,1.1,.58999997,36,42.5,35.099998,78.900002,0,2,0,0,45.700001,0,0,70.800003,84,1.2,552,2457,10063,1740,2218,662,510,42501,1,115,7,9,132,0,7,7,2,57,19,10,530,1988,0,5,3840,9770,8051,291147,2202,514,120,1305,2854,134,410,0,0,55,0,2138,15,4886,935,2104,0,514,0,604,0,0,25948016,292,7469236,9.46,11.06,2.0899999,18.370001,22.889999,73.739998,71.730003,.079999998,20.92,70.629997,85.449997,64.339996,100,99.489998,67.43,90.970001,40.970001,35.990002,49.459999,14.59,13.29,100,84.849998,100,74.760002,100,22.290001,60.400002,23.49,0,14.82,2.3099999,13.38,99.519997,69.080002,51.779999,18.85,87.169998,7.7800002,0,.52999997,0,20.82,0,14.09,7.4000001,0,88.760002,18.41,44.259998,17.75,0,32.66,99.919998,99.970001,91.370003,99.989998,100,55.290001,68.07,3.0799999,11.93,10.24,42.110001,71.129997,49.700001,74.260002,27.959999,32.5,33.599998,8.46,35.720001,20.67,77.519997,95.68,74.449997,7.5
244,46.700001,262,8421,0,53.299999,76.5,.273,26.9,40.599998,16.9,11.3,16.4,42.299999,25.299999,30.799999,4.1999998,0,.69999999,0,89.699997,54.900002,8.5,3.8,9.3000002,85,100,80.400002,2.5999999,.80000001,1.1,.60000002,50.900002,36.400002,0,55.700001,64,36.599998,.1,14.8,67.5,41.700001,8.8000002,24.1,0,.1,0,3.2,0,41.799999,1.7,.50999999,53,21.200001,27.700001,63.799999,0,2,.1,.039999999,.60000002,.001,0,79.099998,90.400002,.2,941,1065,5997,960,1449,386,300,19300,28,74,4,5,128,0,25,0,3,22,31,12,402,768,0,9,4113,5332,3687,537783,1256,758,174,1013,1840,64,161,0,0,87,0,1154,14,1599,535,1231,0,758,1,7,0,0,21757960,105,7881589,43.779999,20.860001,30.209999,26.889999,22.889999,73.739998,36.759998,2.4300001,31.540001,72.290001,89.449997,59.200001,100,97.099998,100,78.480003,64.959999,12.44,61.099998,18.99,48.330002,100,80.43,100,55.98,100,37.310001,31.440001,32.52,0,40.400002,9.9700003,33,98.870003,62.669998,28.860001,24.870001,97.379997,49.57,0,.38,0,49.220001,0,36.439999,12.36,19.77,80.529999,60.380001,60.560001,34.66,0,32.66,99.699997,99.190002,1.11,99.919998,100,68.010002,80.75,.55000001,23.299999,30.440001,33.959999,77,53.549999,73.32,21.32,45.560001,37.68,19.6,53.560001,31.74,77.190002,50.509998,82.919998,11.93
200,45.099998,284,7777,0,75.900002,72.300003,.25099999,39.400002,40.599998,16.9,3,5.5999999,36.799999,33,44.400002,4,0,0,25.4,63.099998,67.800003,3.3,5.3000002,6.4000001,75.599998,80,69.199997,.80000001,.89999998,1.1,.60000002,85.5,65.800003,0,56.299999,40,19.1,.1,16.5,64.099998,35.799999,12.3,30.6,0,.1,0,3.0999999,0,37.900002,1,.57999998,44,38.599998,23.200001,45,0,2,.1,0,0,0,0,81.699997,87.699997,0,952,1367,5422,839,1110,336,256,4864,9,100,4,6,90,0,1,2,2,25,15,19,259,1176,1,16,1139,2693,3512,320051,1482,435,171,1066,1889,81,177,0,0,84,0,1137,8,2817,420,815,0,435,0,0,0,0,20714711,126,7494980,20.01,25.24,35.759998,39.380001,22.889999,73.739998,8.8299999,.83999997,25.049999,56.25,64.730003,61.599998,100,99.879997,84,84.849998,56.73,65.480003,45.59,10.54,15.39,80,69.230003,78.949997,65.889999,100,26.15,79.800003,63.740002,0,41.27,5.6799998,13.5,99.309998,58.150002,13.4,11.7,86.589996,29.469999,0,1,0,47.799999,0,32.209999,6.4200001,0,85.059998,26.1,70.709999,55.790001,0,31.99,99.849998,100,0,100,100,71.910004,75.32,.02,23.629999,30.1,26.57,70.339996,47.709999,67.75,47.849998,39.939999,28.620001,17.290001,37.049999,42.169998,77.279999,50,82.410004,11.82
243,54.200001,96,11067,31.9,53.599998,71,.248,34.099998,40.599998,16.9,24.299999,80.400002,63.700001,21.799999,27.799999,1.3,0,.1,9.1999998,69.300003,92.599998,6.3000002,2.5,12.3,86.900002,100,70.199997,2.0999999,1,1.5,.60000002,69.800003,37.900002,0,48.5,91,35.799999,1.1,11.2,76.599998,48.299999,10.2,23.6,54.799999,.40000001,1,2.7,0,39.5,4.1999998,.47999999,76,3.9000001,24.200001,61.400002,0,1.3,9.3999996,.28,35.900002,.16500001,0,85.699997,86.5,1.2,615,1529,7109,1263,1853,425,394,4842,16,122,4,5,50,0,6,1,3,44,25,12,751,919,0,14,3296,6768,5505,985952,1805,12371,182,996,2078,92,191,6,1,84,0,1699,45,380,670,1700,0,101639,248,578,0,0,22028545,165,6701660,43.48,26.58,36.610001,34.060001,22.889999,73.739998,80.830002,11.94,56.939999,79.580002,94.910004,87.199997,100,99.459999,94.220001,83.370003,40.91,34.75,73.790001,27.719999,55.02,100,70.209999,100,94.760002,100,39.790001,57.779999,34.169998,0,30.75,14.79,32.040001,85.739998,71.980003,70.690002,39.759998,93.019997,51.400002,91.309998,2.6099999,50,41.049999,0,33.990002,34.689999,26.99,70.25,94.5,68.470001,37.43,0,57.580002,60.490002,94.93,71.739998,85.239998,100,78.120003,73.040001,2.9000001,13.77,35.18,47.349998,81.839996,60.25,83.639999,30.65,40.830002,60.110001,31.950001,63.91,35.299999,71,78.489998,83.720001,8.3400002
203,47.400002,245,8727,0,62.5,75,.23100001,28.1,40.599998,16.9,3.8,7.8000002,57,20.6,24.4,3.3,0,0,11.4,514.5,102.4,5,4.0999999,7.5999999,83.599998,100,73.699997,1.4,.80000001,1.2,.5,86.199997,44,0,48.5,70,24.9,.5,12.2,75.599998,39.799999,11.4,33.5,11.4,.2,1,2.7,0,37.200001,1.6,.52999997,59,23.1,26.5,57.700001,3.3,2,.5,.0099999998,0,0,0,82.900002,90,.5,1043,1316,6155,901,1520,386,318,5806,12,68,4,4,85,0,0,1,18,43,18,13,364,902,0,10,1206,4894,4516,613776,1587,4223,167,815,1954,89,238,1,1,74,0,1328,14,1832,548,1194,29,4223,0,0,0,0,22511577,112,9120439,34.169998,22.459999,40.84,28.059999,22.889999,73.739998,11.36,1.16,49.040001,82.080002,100,68.580002,100,100,92.790001,0,34.650002,48.450001,57.720001,14.11,43.470001,100,73.68,100,59.990002,100,20.059999,80.730003,40.630001,0,30.790001,11.05,19.969999,93.959999,69.290001,65.989998,20.59,89.43,20.389999,19.08,1.35,50,41.77,0,31.389999,11.72,12.21,77.900002,56.68,63.389999,41.57,.38999999,33.669998,98.040001,99.900002,0,99.970001,100,73.800003,80.07,1.12,26.309999,31.389999,27.290001,69.68,56.240002,70.010002,40.459999,38.939999,40.880001,26.98,48.93,35.119999,77.199997,49.990002,84.629997,13.71
199,44.900002,287,7870,29.299999,73.699997,79.099998,.30199999,27.5,40.599998,16.9,22.1,0,52.599998,27.700001,34.299999,.1,0,.1,0,686.09998,75.5,2.5,1.5,8.8999996,80,100,63.599998,2,.89999998,1.3,.40000001,74.400002,37.5,0,36.5,54,26.1,.1,9.1999998,74.300003,32.900002,13.5,37,0,.2,0,1.9,0,29.299999,2.2,.57999998,68,33.200001,23.4,67.300003,0,2,.1,.090000004,0,.014,0,77.900002,89.599998,1.1,832,1511,5609,1085,1458,357,266,30852,0,68,5,6,1,0,2,0,21,24,6,3,359,928,0,12,1979,4825,4779,414931,1485,602,69,723,1879,87,201,0,0,44,0,1421,17,2263,461,1326,0,607,8,0,0,0,19421964,108,6417614,22.32,18.17,22.629999,27.459999,22.889999,73.739998,73.279999,0,43.790001,67.290001,83.089996,99.5,100,99.75,100,0,51.82,73.790001,84.220001,17.98,30.940001,100,63.639999,100,73.739998,100,4.3099999,64.18,33.689999,0,14.63,8.1400003,21.33,99.019997,77,59.869999,5.1100001,82.849998,9.3199997,0,1.6,0,28.690001,0,22.82,17.25,0,73.639999,36.720001,70.25,30.82,0,32.66,99.75,98.339996,0,98.739998,100,66.07,79.190002,2.6300001,20.120001,22.639999,42.48,71.690002,61.759998,69.510002,32.619999,35.779999,33.68,13.75,36.790001,33.689999,76.919998,49.369999,81.75,11.38
198,48.099998,218,5196,0,69,65.199997,.20200001,22.799999,24.299999,27.1,20.700001,6.1999998,63.900002,16.700001,19.200001,.60000002,0,0,0,97.5,53.099998,4,4.5999999,19.5,89.099998,50,63,1,1,1.4,.60000002,90.199997,31.4,0,49.799999,52,29.9,.1,14.6,68.900002,42.900002,12.9,24.9,0,.1,0,3,0,37.200001,2.7,.46000001,49,3.9000001,29.9,74.800003,0,1.9,.1,.029999999,0,.0020000001,0,45.799999,86.5,.69999999,306,752,3130,403,828,124,341,20122,6,17,2,2,8,0,0,0,2,13,7,7,581,374,1,10,503,3535,2535,266023,752,368,110,629,1120,70,112,0,0,43,0,673,14,180,315,789,0,368,1,0,0,0,14933095,79,1578896,27.32,32.580002,48.360001,22.76,53.73,26.629999,68.480003,.92000002,57.119999,90.209999,100,93.949997,100,100,100,76.599998,66.110001,59,52.830002,48.939999,62.75,50,62.959999,100,90.150002,100,38.259998,86.370003,27.25,0,32.549999,7.7199998,25.469999,99.099998,63.220001,35.369999,27.610001,84.57,47.049999,0,.41999999,0,46.759998,0,31.459999,21.85,33.099998,82.709999,94.489998,55.869999,22.41,0,34.68,99.779999,99.489998,0,99.779999,100,16.889999,73.080002,1.64,4.7600002,32.759998,37.439999,87.110001,56.080002,82.099998,37.869999,41.209999,36.889999,20.01,70.099998,26.09,77.980003,49.889999,63.32,3.2
190,47.700001,232,4644,0,77.5,77.300003,.28200001,22.1,40.599998,16.9,59.599998,2.8,55.299999,20.4,25.200001,1,0,0,21.6,0,46.700001,6,2.5,9.3999996,83.5,0,70.800003,2.5,.89999998,1.2,.60000002,67.5,47,0,35.5,49,20,.1,22.5,72.300003,46.900002,12.6,25,0,.1,0,2.9000001,0,27,2.4000001,.51999998,39,3.5,25.6,61.5,0,2,1.3,.1,0,.037999999,0,70.099998,95.5,.30000001,979,943,3305,639,944,174,170,63095,3,26,1,2,14,0,0,1,0,10,10,4,245,503,2,7,1503,2448,2968,228830,970,278,186,515,912,57,94,0,0,41,0,885,11,150,306,736,0,6218,30,0,0,0,16797667,23,4523690,18.35,20.07,27.91,22.110001,22.889999,73.739998,100,.41999999,46.939999,82.5,99.639999,90.470001,100,100,86.370003,100,70.199997,37.900002,74.389999,19.209999,42.98,0,70.830002,100,69.440002,100,43.189999,54.59,43.849998,0,13.36,7.3099999,14.5,99.25,42.669998,50.700001,36.509998,85.769997,46.880001,0,.38999999,0,45.23,0,20.280001,18.73,16.1,86.970001,95.18,65.370003,37.25,0,33.330002,94.410004,98.129997,0,96.620003,100,54.119999,90.980003,.75999999,24.41,22.110001,49.259998,86.239998,40.880001,78.160004,32.810001,33.599998,37.560001,16.85,66.089996,34.200001,75.290001,48.310001,81.699997,12.59
194,57.5,54,27119,47.099998,41.799999,56.400002,.16599999,51.700001,24.299999,27.1,38.200001,16.4,66.800003,13.7,16,2.0999999,0,0,46.099998,19.5,73.300003,6,4.1999998,14.9,89.599998,55,72.300003,1.5,1,1.2,.60000002,79.900002,58,79.5,68.800003,135,51.299999,1,6.5,73.199997,44.299999,8.6999998,23.299999,45.5,.80000001,1,5,13,50.599998,3.8,.44999999,98,3.3,31.200001,44.799999,108,1,12.4,.34999999,11.5,.29300001,0,80.300003,90.199997,2.9000001,814,2624,13034,1857,2939,640,1611,125846,54,232,6,7,157,0,3,12,2,99,84,57,2063,1694,9,43,5236,10941,7802,3491140,2960,26404,264,2663,5280,208,510,12,1,399,10,3003,97,759,1875,2689,2814,319373,942,389,0,0,66066671,295,21200627,55.919998,41.66,57.560001,51.650002,53.73,26.629999,100,2.4300001,60.669998,96.459999,100,79.690002,100,99.889999,70.980003,95.32,53.220001,38.41,56.34,35.34,64.459999,55,72.260002,100,100,100,34.959999,71.93,55.470001,79.459999,58.009998,22.83,49.290001,87.190002,84.010002,54.82,30.66,97.75,52.23,75.830002,6.0100002,50,76.900002,16.23,46.07,31.209999,35.07,59.779999,95.610001,52.84,56.009998,12.8,66.330002,47.75,93.519997,23.049999,73.730003,100,69.769997,80.410004,7.04,19.59,51.700001,45.700001,84.019997,53.630001,83.739998,68.949997,54.330002,57.330002,44.080002,63.490002,40.549999,69.199997,48.389999,83.389999,13.32
193,47.599998,234,8351,0,51.599998,75.699997,.26100001,26.9,40.599998,16.9,73.699997,26,57.5,15.6,18.299999,2.3,0,.60000002,23.700001,0,134.7,9.8999996,4.0999999,9.8999996,86.699997,33.299999,69.400002,2.9000001,.89999998,1.1,.60000002,70.800003,48.200001,0,48.099998,72,27.799999,.1,7.3000002,72,41.900002,9.6999998,33.299999,11.9,.30000001,0,2.9000001,0,26.700001,3,.47999999,76,6,29.9,67.400002,0,2,17,.17,11.2,.175,0,75,91,.30000001,1627,1051,5997,998,1519,390,286,124751,44,66,3,3,57,0,21,2,0,45,35,12,456,717,2,15,2461,4362,4484,605929,1500,717,69,971,1752,72,192,1,0,74,0,1523,25,468,611,1377,0,143826,438,332,0,0,29543457,104,13711148,45.610001,21.75,33.139999,26.940001,22.889999,73.739998,100,3.8599999,49.540001,92.5,100,77.949997,100,97.599998,85.040001,100,14.04,0,58.060001,20.780001,54.099998,33.330002,69.389999,100,75.839996,100,30.469999,59.209999,45.099998,0,30.24,11.3,23.25,98.940002,82.029999,49.580002,25.27,94.639999,20.83,19.85,2.5,0,44.689999,0,20.030001,23.92,26.469999,70.18,90.269997,55.759998,30.68,0,32.66,28.290001,96.809998,22.48,84.379997,100,61.66,82.010002,.81999999,43.380001,31.860001,50.119999,79.629997,39.279999,76.580002,34.77,40.93,42.099998,17.73,62.310001,28.809999,52.59,53.43,81.220001,22.1
